# lat,lon,radius,speed
39.3225841,-0.5827146,5,1
39.3223886,-0.5827988,5,1
39.3223916,-0.5825461,5,1
39.3222494,-0.5825270,5,1
39.3222257,-0.5828026,5,1
39.3220599,-0.5827912,5,1
39.3220658,-0.5825117,5,1
