timestamp_utc,Sim/Real Mode,Vehicle Mode,Latitude [deg],Longitude [deg],Altitude [m],Speed [m/s],Course [deg],Heading [deg],Roll [deg],Pitch [deg],Yaw [deg],Heading Status,Source,GNSS Fix Type (sys),Target Heading [deg],Cross-Track Error [m],Heading Error [deg],KP (chainage) [m],Motor Port [%],Motor Starboard [%],Distance to WP [m]
2026-06-12T09:35:01.451Z,REAL,MANUAL,,,,,,,,,,,,0,,,,,,,
2026-06-12T09:35:01.540Z,REAL,MANUAL,,,,,,,,,,,,0,,,,,,,
2026-06-12T09:35:01.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.373,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:01.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.064,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:01.840Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.213,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:01.940Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.194,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.040Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.991,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.140Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.983,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.240Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.17,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.340Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.179,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.440Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.036,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.540Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.128,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.308,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.198,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.840Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.16,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:02.940Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.389,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.040Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.089,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.140Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.158,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.240Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.045,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.340Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.093,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.440Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.103,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.540Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.158,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.159,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.986,43.119,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.840Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.287,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:03.940Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.248,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.040Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.143,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.140Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.305,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.240Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.152,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.340Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.214,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.440Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.257,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.540Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.16,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.168,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.385,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.840Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.274,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:04.940Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.032,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.040Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.141,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.140Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.044,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.240Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.167,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.340Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.147,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.440Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.223,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.540Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.277,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.179,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.142,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.840Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.133,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:05.940Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.094,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.040Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.31,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.140Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.084,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.240Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.156,42.804,101.974,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.340Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.219,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.440Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.215,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.540Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.304,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.640Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.977,43.119,102.289,-8205.774,M,sensor,0,,,,,,,
2026-06-12T09:35:06.740Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.306,42.804,102.289,-8205.774,M,sensor,0,,,,,,,
