timestamp_utc,Sim/Real Mode,Vehicle Mode,Latitude [deg],Longitude [deg],Altitude [m],Speed [m/s],Course [deg],Heading [deg],Roll [deg],Pitch [deg],Yaw [deg],Heading Status,Source,GNSS Fix Type (sys),Target Heading [deg],Cross-Track Error [m],Heading Error [deg],KP (chainage) [m],Motor Port [%],Motor Starboard [%],Distance to WP [m]
2026-06-12T12:35:01.732Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.097,40.286,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:01.830Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.536,40.286,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:01.929Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.184,40.286,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.029Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.949,40.286,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.129Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.065,40.601,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.229Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.763,40.286,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.329Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.843,40.286,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.429Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.906,40.286,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.529Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.914,40.601,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.629Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.001,40.601,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.729Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.958,40.601,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.830Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.892,40.601,102.604,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:02.929Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.118,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.029Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.925,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.129Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.148,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.229Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.23,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.329Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.029,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.429Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.023,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.529Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.843,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.629Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.001,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.729Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.857,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.829Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.894,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:03.929Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.999,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.029Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.952,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.129Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.022,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.229Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.181,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.329Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.095,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.429Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.057,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.529Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.98,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.629Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,238.214,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
2026-06-12T12:35:04.729Z,REAL,MANUAL,0.0,0.0,0.0,0.0,0.0,237.995,40.601,102.289,-8205.774,M,sensor,0,,,,,0,0,
